model,cond,pid,eos,n_new,coverage,n_stmts,tok_cross,ast4,ast8,ast16,kind,p_stmt,cycles,unit,d_stmt,L,D,tail_tokmin,line_p,line_L,line_D,literal,L_eff,D_eff,anyaxis,degen
gpt2,t08,merge_sort,False,600,0.45,2,,,,,,,,,,,,,2,36,20,Y,36,20,True,True
gpt2,t08,binary_search,False,600,0.1,2,,,,,,,,,,,,,,,,,,,False,False
gpt2,t08,fibonacci,False,600,0.742,49,338,330,337,372,strict,1,42.0,statement,1,7,6,0.188,1,7,6,Y,7,6,True,True
gpt2,t08,parse_csv,False,600,1.0,2,,,,,,,,,,,,,3,29,16,Y,29,16,True,True
gpt2,t08,word_freq,False,600,0.576,34,,,449,201,strict,2,4.0,block,2,45,29,0.594,3,45,29,Y,45,29,True,True
gpt2,t08,flatten,False,600,0.966,54,,,98,146,strict,2,25.0,function,2,25,18,0.406,,,,N,25,18,True,True
gpt2,t08,stack_class,False,600,0.13,0,,,,,,,,,,,,,,,,,,,False,False
gpt2,t08,lru_cache,False,600,0.143,7,,,,,,,,,,,,,,,,,,,False,False
gpt2,t08,prime_sieve,False,600,0.581,25,,,,352,strict,6,3.2,function,5,151,66,0.594,10,151,66,Y,151,66,True,True
gpt2,t08,roman,False,600,0.762,31,,,123,289,strict,3,9.7,block,3,62,36,0.531,8,62,36,Y,62,36,True,True
gpt2,t08,balanced,False,600,0.109,5,,,,,,,,,,,,,,,,,,,False,False
gpt2,t08,transpose,False,600,0.991,4,82,,,,,,,,,,,,14,72,21,Y,72,21,True,True
gpt2,t08,rle,False,600,0.673,37,,,,228,strict,4,9.0,block,4,71,38,0.438,,,,N,71,38,True,True
gpt2,t08,dedup,False,600,0.525,32,,69,255,280,strict,3,5.7,block,3,60,26,0.5,6,60,26,Y,60,26,True,True
gpt2,t08,gcd,False,600,0.957,45,,,76,190,strict,3,15.0,function,3,41,34,0.781,,,,N,41,34,True,True
gpt2,t08,quicksort,False,600,0.354,17,,113,233,539,strict,1,16.0,statement,1,38,30,0.75,3,38,30,Y,38,30,True,True
gpt2,t08,tree_walk,False,600,0.359,23,,405,486,568,quasi,1,9.0,statement,1,29,22,0.531,,,,N,29,22,True,True
gpt2,t08,json_walk,False,600,0.333,17,,,248,562,strict,2,7.5,block,2,79,51,0.562,,,,N,79,51,True,True
gpt2,t08,email,False,600,0.667,43,,,117,203,strict,2,5.0,block,2,28,20,0.5,,,,N,28,20,True,True
gpt2,t08,temp,False,600,0.071,3,,,,,,,,,,,,,9,128,44,Y,128,44,True,True
gpt2,t08,reverse_words,False,600,0.549,27,140,,135,224,quasi,2,5.0,block,2,40,25,0.531,,,,N,40,25,True,True
gpt2,t08,anagram,False,600,1.0,19,,126,176,446,strict,1,16.0,statement,1,44,30,0.656,3,44,30,Y,44,30,True,True
gpt2,t08,pascal,False,600,0.824,13,137,,,,,,,,,,,,,,,,,,False,False
gpt2,t08,chunk,False,600,0.444,17,,415,415,542,strict,1,9.0,statement,1,36,23,0.531,2,26,19,Y,36,23,True,True
gpt2,p95,merge_sort,False,600,0.462,24,,,168,424,strict,3,7.7,function,3,85,55,0.688,,,,N,85,55,True,True
gpt2,p95,binary_search,False,600,0.512,5,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,fibonacci,False,600,0.754,3,105,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,parse_csv,False,600,0.512,11,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,word_freq,False,600,0.515,35,,431,431,355,strict,3,2.3,block,2,49,28,0.531,6,49,28,Y,49,28,True,True
gpt2,p95,flatten,False,600,0.133,2,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,stack_class,False,600,0.059,1,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,lru_cache,False,600,0.545,30,,362,424,424,strict,1,10.0,statement,1,8,8,0.312,,,,N,8,8,True,True
gpt2,p95,prime_sieve,False,600,0.64,7,344,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,roman,False,600,0.662,16,,323,323,597,quasi,1,8.0,statement,1,50,29,0.531,,,,N,50,29,True,True
gpt2,p95,balanced,False,600,0.059,3,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,transpose,False,600,0.577,22,553,,,283,,,,,,,,,,,,,,,False,False
gpt2,p95,rle,False,600,0.359,23,,431,479,504,quasi,1,11.0,statement,1,9,8,0.406,,,,N,9,8,True,True
gpt2,p95,dedup,False,600,0.439,18,,115,253,501,strict,1,16.0,statement,1,27,17,0.344,,,,N,27,17,True,True
gpt2,p95,gcd,False,600,0.659,56,,,192,203,strict,4,11.0,block,2,42,22,0.438,6,42,22,Y,42,22,True,True
gpt2,p95,quicksort,False,600,0.125,6,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,tree_walk,False,600,0.35,8,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,json_walk,False,600,0.362,9,,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,email,False,600,0.377,13,392,,,,,,,,,,,,,,,,,,False,False
